age,estimate,group,n,coef,se,df,boot_se
25,IGE,IGE/RRC,63750,0.257680376309927,0.0103606481870458,63739,0.0250119451423203
25,RRC,IGE/RRC,63790,0.112698800240292,0.00393445783434827,63779,0.00874609820436472
25,TM,Bot->Bot,63790,0.25576289791438,,,0.00538077272476406
25,TM,Bot->Top,63790,0.182609377450212,,,0.0056109292460953
25,TM,Top->Bot,63790,0.148476063621406,,,0.00376751358923061
25,TM,Top->Top,63790,0.259421766042467,,,0.00600475213991875
26,IGE,IGE/RRC,63854,0.329452138533079,0.0102256629870031,63843,0.0264178805416033
26,RRC,IGE/RRC,63894,0.157799822229634,0.00390688532950128,63883,0.00775885072554337
26,TM,Bot->Bot,63894,0.258180679505245,,,0.00583508973283218
26,TM,Bot->Top,63894,0.171598559574135,,,0.00548924743719184
26,TM,Top->Bot,63894,0.132285066103419,,,0.00337301764204527
26,TM,Top->Top,63894,0.296722209184073,,,0.00614392360786168
27,IGE,IGE/RRC,63846,0.369727603539633,0.0101406116864664,63835,0.0260674167765961
27,RRC,IGE/RRC,63886,0.16999509055405,0.0038991129688694,63875,0.00811331618034447
27,TM,Bot->Bot,63886,0.261546892124628,,,0.00589669024960134
27,TM,Bot->Top,63886,0.166275246594645,,,0.00590592251273903
27,TM,Top->Bot,63886,0.131366872701667,,,0.00338470672538231
27,TM,Top->Top,63886,0.308974258665206,,,0.00572616939213242
28,IGE,IGE/RRC,64273,0.413818328660812,0.00959088770440741,64262,0.0253199727900158
28,RRC,IGE/RRC,64314,0.194151456460984,0.00386847743985174,64303,0.00775811005200303
28,TM,Bot->Bot,64314,0.27101640874096,,,0.00600240696234341
28,TM,Bot->Top,64314,0.15631075511315,,,0.00622138021184332
28,TM,Top->Bot,64314,0.121930369909854,,,0.00324165434900812
28,TM,Top->Top,64314,0.327168169101648,,,0.00480919250938307
29,IGE,IGE/RRC,64390,0.4445359588624,0.00932503265284181,64379,0.0271028877901285
29,RRC,IGE/RRC,64431,0.212256181224145,0.00385015849693089,64420,0.00868611803299982
29,TM,Bot->Bot,64431,0.274124679760888,,,0.00671384551715228
29,TM,Bot->Top,64431,0.151541029423181,,,0.00741159898404253
29,TM,Top->Bot,64431,0.119851058878287,,,0.00325032692627169
29,TM,Top->Top,64431,0.342874873943061,,,0.00443710135696902
30,IGE,IGE/RRC,64245,0.435400349694666,0.00939100271681296,64234,0.0241339025520184
30,RRC,IGE/RRC,64286,0.200789661816648,0.00386405165155642,64275,0.00749632648994904
30,TM,Bot->Bot,64286,0.266708161518712,,,0.00674279252408044
30,TM,Bot->Top,64286,0.165797868201976,,,0.00779003508906682
30,TM,Top->Bot,64286,0.119343803452029,,,0.00318336807043982
30,TM,Top->Top,64286,0.340771264189084,,,0.00431474526334708
31,IGE,IGE/RRC,64301,0.470953835216312,0.00884333588341114,64290,0.0231828168097278
31,RRC,IGE/RRC,64342,0.231701825209221,0.00383537666049014,64331,0.00897216415215806
31,TM,Bot->Bot,64342,0.288900979325354,,,0.00741346454282715
31,TM,Bot->Top,64342,0.138737758433079,,,0.00880365314608961
31,TM,Top->Bot,64342,0.120164672984309,,,0.00322694610918528
31,TM,Top->Top,64342,0.344415100201957,,,0.00440210927813444
32,IGE,IGE/RRC,64347,0.423923187026822,0.00836704699165393,64336,0.0234094593096234
32,RRC,IGE/RRC,64388,0.226359141072009,0.0038389585590828,64377,0.00763539530675318
32,TM,Bot->Bot,64388,0.286391176013671,,,0.00599584594225908
32,TM,Bot->Top,64388,0.141603231318937,,,0.0068739937607282
32,TM,Top->Bot,64388,0.117683589504735,,,0.00309162443659469
32,TM,Top->Top,64388,0.343269678621332,,,0.00448133995825464
33,IGE,IGE/RRC,64379,0.491678409176241,0.00841674851632765,64368,0.0237841102805977
33,RRC,IGE/RRC,64420,0.264437351941546,0.00380001566985689,64409,0.00765924370050802
33,TM,Bot->Bot,64420,0.307686335403727,,,0.00579624256005943
33,TM,Bot->Top,64420,0.112810559006211,,,0.00601921975776246
33,TM,Top->Bot,64420,0.11746450461634,,,0.00333040169547124
33,TM,Top->Top,64420,0.356971060594305,,,0.00500790340639403
34,IGE,IGE/RRC,64414,0.472882165957185,0.00825841999953328,64403,0.0238534956943608
34,RRC,IGE/RRC,64455,0.261575379225524,0.0038020435586599,64444,0.00814135561220989
34,TM,Bot->Bot,64455,0.309226352137813,,,0.00549669476758486
34,TM,Bot->Top,64455,0.10708465895864,,,0.00573476550348884
34,TM,Top->Bot,64455,0.115703761147732,,,0.00316693102350717
34,TM,Top->Top,64455,0.352927491275688,,,0.00473138669777787
35,IGE,IGE/RRC,64496,0.449062466540889,0.00764573051261493,64485,0.0248099306481095
35,RRC,IGE/RRC,64537,0.274513829557789,0.00378545786079702,64526,0.00782734422042151
35,TM,Bot->Bot,64537,0.31401115933044,,,0.00522819558748667
35,TM,Bot->Top,64537,0.106866088034718,,,0.00522818228887369
35,TM,Top->Bot,64537,0.113701494849353,,,0.00325810757820897
35,TM,Top->Top,64537,0.357447138099295,,,0.00504618094932672
36,IGE,IGE/RRC,64495,0.476039283011931,0.00798461927722289,64484,0.0244211850895306
36,RRC,IGE/RRC,64536,0.278838761342607,0.00378058775540969,64525,0.00727286358037567
36,TM,Bot->Bot,64536,0.316800991940484,,,0.00497073143207933
36,TM,Bot->Top,64536,0.0990390576565406,,,0.00425029948127071
36,TM,Top->Bot,64536,0.113933854852451,,,0.00328351940665319
36,TM,Top->Top,64536,0.35853148478042,,,0.00509003407285434
37,IGE,IGE/RRC,64530,0.514233399412031,0.00807597182170194,64519,0.0183475563089867
37,RRC,IGE/RRC,64571,0.289666521265433,0.00376692638863196,64560,0.00593306980296732
37,TM,Bot->Bot,64571,0.321403671856844,,,0.00494318592820844
37,TM,Bot->Top,64571,0.0999302811991634,,,0.00416923093944592
37,TM,Top->Bot,64571,0.109304845951386,,,0.00304177119310333
37,TM,Top->Top,64571,0.367162099396191,,,0.00496352431674731
38,IGE,IGE/RRC,64507,0.512000886406369,0.00804131445140412,64496,0.0185180791502542
38,RRC,IGE/RRC,64548,0.291839947271436,0.00376499749628503,64537,0.00560155902741884
38,TM,Bot->Bot,64548,0.32016116534945,,,0.00491427225267549
38,TM,Bot->Top,64548,0.0997985433131877,,,0.00384218798512576
38,TM,Top->Bot,64548,0.110414246999613,,,0.00299032694290241
38,TM,Top->Top,64548,0.371273712737127,,,0.00490986235941038
39,IGE,IGE/RRC,64530,0.485439210111248,0.00770421729676461,64519,0.019814039721635
39,RRC,IGE/RRC,64571,0.294897882015949,0.00376063188794789,64560,0.00533078620299441
39,TM,Bot->Bot,64571,0.316808675445391,,,0.00516939806750168
39,TM,Bot->Top,64571,0.101471727343145,,,0.00440631873168438
39,TM,Top->Bot,64571,0.107988852763586,,,0.00286866371351967
39,TM,Top->Top,64571,0.377999690354544,,,0.00416699096145289
40,IGE,IGE/RRC,64537,0.493233270599044,0.00770802786363062,64526,0.0161809224210245
40,RRC,IGE/RRC,64578,0.296760361895058,0.00375816520408874,64567,0.00488455547953618
40,TM,Bot->Bot,64578,0.314537990860507,,,0.00516422501814956
40,TM,Bot->Top,64578,0.102780574703741,,,0.00440636040161494
40,TM,Top->Bot,64578,0.107516061614676,,,0.00285299135016895
40,TM,Top->Top,64578,0.38067961916557,,,0.00408795661445872
41,IGE,IGE/RRC,64530,0.471375247282739,0.00735945774918822,64519,0.019324083998167
41,RRC,IGE/RRC,64571,0.297756741033204,0.00375714141262628,64560,0.00502393872096531
41,TM,Bot->Bot,64571,0.319519752130132,,,0.00474759503502533
41,TM,Bot->Top,64571,0.0992254066615027,,,0.00421881521598719
41,TM,Top->Bot,64571,0.108917789131445,,,0.00286979229699581
41,TM,Top->Top,64571,0.383263663105744,,,0.00399875376147761
42,IGE,IGE/RRC,64537,0.496769437950186,0.00771699002893039,64526,0.0182477208821091
42,RRC,IGE/RRC,64578,0.296762028818137,0.00375816209221649,64567,0.00511219507105632
42,TM,Bot->Bot,64578,0.315932150879095,,,0.00514510821810115
42,TM,Bot->Top,64578,0.103322748044303,,,0.00416384042408704
42,TM,Top->Bot,64578,0.108522331449803,,,0.00288537000055892
42,TM,Top->Top,64578,0.382072915860361,,,0.00392928241921195
43,IGE,IGE/RRC,64530,0.488506793565871,0.00761455100194726,64519,0.0152089238743262
43,RRC,IGE/RRC,64571,0.295281855798986,0.00376016554668109,64560,0.00509211386554581
43,TM,Bot->Bot,64571,0.31425251742835,,,0.00506367017891501
43,TM,Bot->Top,64571,0.104337722695585,,,0.00412054425284592
43,TM,Top->Bot,64571,0.107601795943645,,,0.00284492531773879
43,TM,Top->Top,64571,0.381483201734015,,,0.00389015155791387
44,IGE,IGE/RRC,64541,0.49438082690784,0.00782793671048146,64530,0.0152517038451379
44,RRC,IGE/RRC,64582,0.292152821689904,0.00376363061094574,64571,0.00517698156209669
44,TM,Bot->Bot,64582,0.311517310820231,,,0.00564452373646876
44,TM,Bot->Top,64582,0.107969948106266,,,0.00488693839887057
44,TM,Top->Bot,64582,0.109365325077399,,,0.0028141235670297
44,TM,Top->Top,64582,0.381733746130031,,,0.0039126254955055
45,IGE,IGE/RRC,64530,0.504677921461481,0.0077877806231318,64519,0.0146361043110079
45,RRC,IGE/RRC,64571,0.297503203359099,0.00375745295789695,64560,0.00503923722414803
45,TM,Bot->Bot,64571,0.318590240123935,,,0.00514987829424029
45,TM,Bot->Top,64571,0.101239349341596,,,0.00451535934089625
45,TM,Top->Bot,64571,0.109072611859421,,,0.00280432894021013
45,TM,Top->Top,64571,0.38256696082985,,,0.00373905707663232
46,IGE,IGE/RRC,64537,0.509335406848839,0.00780229491660625,64526,0.0144011292697153
46,RRC,IGE/RRC,64578,0.30010955015579,0.00375403203290583,64567,0.00487030281670046
46,TM,Bot->Bot,64578,0.319495004259933,,,0.00506344579596684
46,TM,Bot->Top,64578,0.100302068004028,,,0.00413235914499613
46,TM,Top->Bot,64578,0.109915628144593,,,0.00279772414164305
46,TM,Top->Top,64578,0.380524808421704,,,0.00382066411373065
47,IGE,IGE/RRC,64541,0.488030371846503,0.00764253189682531,64530,0.0151346190379193
47,RRC,IGE/RRC,64582,0.294946883260836,0.00376025608867892,64571,0.00487888655647223
47,TM,Bot->Bot,64582,0.314537990860507,,,0.00484623432993348
47,TM,Bot->Top,64582,0.103245294709937,,,0.00409085420777792
47,TM,Top->Bot,64582,0.109752321981424,,,0.00278806107647485
47,TM,Top->Top,64582,0.382275541795666,,,0.00384235198549174
48,IGE,IGE/RRC,64538,0.503966849393346,0.00780229121858218,64527,0.0140678428438341
48,RRC,IGE/RRC,64579,0.297596364514829,0.00375710192664094,64568,0.00491819884490166
48,TM,Bot->Bot,64579,0.314872192099148,,,0.0047047112591051
48,TM,Bot->Top,64579,0.100232378001549,,,0.0040645101993853
48,TM,Top->Bot,64579,0.108668730650155,,,0.0028269408615724
48,TM,Top->Top,64579,0.3828173374613,,,0.0038181310971567
49,IGE,IGE/RRC,64485,0.475117813532467,0.00732080220001365,64474,0.0173423572240261
49,RRC,IGE/RRC,64526,0.300009871621266,0.00375567665870547,64515,0.00473190241292419
49,TM,Bot->Bot,64526,0.316201550387597,,,0.00448904943869709
49,TM,Bot->Top,64526,0.101472868217054,,,0.00386254448241069
49,TM,Top->Bot,64526,0.110000774653343,,,0.00294309545715945
49,TM,Top->Top,64526,0.383143543264389,,,0.0038522541996578
50,IGE,IGE/RRC,64541,0.502779203529687,0.00780301613640822,64530,0.0146935463972285
50,RRC,IGE/RRC,64582,0.296291672264089,0.00375862201855807,64571,0.00475311054386946
50,TM,Bot->Bot,64582,0.314305630857408,,,0.00460771999947067
50,TM,Bot->Top,64582,0.104407094725428,,,0.00422929498655722
50,TM,Top->Bot,64582,0.109829721362229,,,0.00285225028515747
50,TM,Top->Top,64582,0.382507739938081,,,0.00382179017085539
51,IGE,IGE/RRC,64524,0.485304895338945,0.00759473945707593,64513,0.015189686938312
51,RRC,IGE/RRC,64565,0.295656524759028,0.00375987846733719,64554,0.00491213404467666
51,TM,Bot->Bot,64565,0.311410643736928,,,0.00468486025796182
51,TM,Bot->Top,64565,0.105972577271671,,,0.00424136671149453
51,TM,Top->Bot,64565,0.109941158253329,,,0.00287366828975171
51,TM,Top->Top,64565,0.383323010219882,,,0.00383445230201814
52,IGE,IGE/RRC,64537,0.513746653855985,0.0078864495277057,64526,0.0146108128068181
52,RRC,IGE/RRC,64578,0.298587006763681,0.00375592294309793,64567,0.00466031407179116
52,TM,Bot->Bot,64578,0.316319417550926,,,0.00476659900221042
52,TM,Bot->Top,64578,0.105568894740919,,,0.00436410671116903
52,TM,Top->Bot,64578,0.108367520705937,,,0.00278219593382762
52,TM,Top->Top,64578,0.383621023299017,,,0.00371080591741397
53,IGE,IGE/RRC,64503,0.493642532519664,0.00767214791407831,64492,0.0158673423741159
53,RRC,IGE/RRC,64544,0.297264368809623,0.00375853512573405,64533,0.00463166648114456
53,TM,Bot->Bot,64544,0.314166150030998,,,0.00463298082718549
53,TM,Bot->Top,64544,0.10593614383137,,,0.00389920665064834
53,TM,Top->Bot,64544,0.109820322180917,,,0.00281586890607844
53,TM,Top->Top,64544,0.383828996282528,,,0.00378424873004466
54,IGE,IGE/RRC,64537,0.506309815204263,0.0079160296775501,64526,0.0171537316963524
54,RRC,IGE/RRC,64578,0.295217566293793,0.00376004342090818,64567,0.00475126925835266
54,TM,Bot->Bot,64578,0.314537990860507,,,0.00482427658044414
54,TM,Bot->Top,64578,0.106420881418945,,,0.00424104247886441
54,TM,Top->Bot,64578,0.109528601284929,,,0.00278999457246932
54,TM,Top->Top,64578,0.382924374951622,,,0.00376942218341625
55,IGE,IGE/RRC,64537,0.501304053424873,0.00776510549489811,64526,0.0148160487444024
55,RRC,IGE/RRC,64578,0.297101229739891,0.00375773657772131,64567,0.00488775607746938
55,TM,Bot->Bot,64578,0.316087057547827,,,0.00475061825204247
55,TM,Bot->Top,64578,0.1037874680505,,,0.00429039477442491
55,TM,Top->Bot,64578,0.109373790541064,,,0.00280417195124237
55,TM,Top->Top,64578,0.382924374951622,,,0.00375305401516845
56,IGE,IGE/RRC,64527,0.516009704244941,0.00809435498686039,64516,0.0159005464852265
56,RRC,IGE/RRC,64568,0.297239845709947,0.00375786516371568,64557,0.00505490456738379
56,TM,Bot->Bot,64568,0.311565574405454,,,0.00516983096528257
56,TM,Bot->Top,64568,0.0999302811991634,,,0.00387309661828424
56,TM,Top->Bot,64568,0.108754547565601,,,0.00279937634644535
56,TM,Top->Top,64568,0.385710968341203,,,0.00381858871634239
57,IGE,IGE/RRC,64527,0.489749733740359,0.00792130275405926,64516,0.0158619951185801
57,RRC,IGE/RRC,64568,0.295806282124806,0.00375961369089469,64557,0.0054002833213183
57,TM,Bot->Bot,64568,0.308854287706251,,,0.00567303820274339
57,TM,Bot->Top,64568,0.0969091331629096,,,0.00370797616954248
57,TM,Top->Bot,64568,0.108608143675492,,,0.00281146779478789
57,TM,Top->Top,64568,0.387056819941167,,,0.00377478698668018
58,IGE,IGE/RRC,64513,0.469528631301319,0.00762592983708964,64502,0.0175155177007075
58,RRC,IGE/RRC,64554,0.291656392294178,0.0037650427949114,64543,0.0056708254798319
58,TM,Bot->Bot,64554,0.302912922218779,,,0.00590450848178415
58,TM,Bot->Top,64554,0.0960644561512241,,,0.00395234732126792
58,TM,Top->Bot,64554,0.110655102989004,,,0.00288617719803361
58,TM,Top->Top,64554,0.384466470497135,,,0.00402062523399748
59,IGE,IGE/RRC,64458,0.46633601601983,0.00762698275983267,64447,0.0149286168094613
59,RRC,IGE/RRC,64499,0.290206449271105,0.00376838728940422,64488,0.00589179447654006
59,TM,Bot->Bot,64499,0.299364045292384,,,0.00642995931182864
59,TM,Bot->Top,64499,0.0997363114626958,,,0.00387530928490672
59,TM,Top->Bot,64499,0.109810911345319,,,0.00299122196692386
59,TM,Top->Top,64499,0.38259454432734,,,0.00400466268513133
60,IGE,IGE/RRC,64467,0.444177652011152,0.00755662477987928,64456,0.0156617366197947
60,RRC,IGE/RRC,64508,0.280070427619497,0.00377999507694906,64497,0.00667407216714207
60,TM,Bot->Bot,64508,0.293789253314724,,,0.00688328113697749
60,TM,Bot->Top,64508,0.105605954873226,,,0.00449205498585115
60,TM,Top->Bot,64508,0.115226656334754,,,0.00320488878003159
60,TM,Top->Top,64508,0.380240216970167,,,0.00422034143364712
